a 어
kaschnitz 카슈니츠
kashi 캐시
kasich 케이식
kaskaskia 캐스캐스키아
kassandra 카산드라
kassem 카셈
kassite 카시트
kasson 캐슨
kastamonu 카스타모누
kastler 카스틀러
kataev 카타예프
kate 케이트
katee 케이티
katharine 캐서린
kathenotheism 카테노시이즘
kathepsin 카텝신
katherine 캐서린
kathleen 캐슬린
kathmandu 카트만두
kathryn 캐스린
kathy 캐시
katia 카티아
katie 케이티
katikati 카티카티
katmai 카트마이
katowice 카토비체
katrina 카트리나
katusa 카투사
katy 케이티
katyusha 카추샤
katzenberg 캐천버그
kauai 카우아이
kauffmann 카우프만
kaufman 코프먼
kaukauna 코코나
kaula 카울라
kauri 카우리
kauss 카우스
kautsky 카우츠키
kavanagh 캐버나
kavanaugh 캐배노
kawaihae 카와이하에
kawakawa 카와카와
kawerau 카웨라우
kay 케이
kayak 카약
kayser 카이저
kayseri 카이세리
kaysville 케이스빌
kaysville 케이즈빌
kazaa 카자
kazakh 카자흐
kazakov 카자코프
kazakstan 카자흐스탄
kazan 카잔
kazantzakis 카잔차키스
kdp 케이디피
keachie 키시
kealakekua 케알라케콰
kean 킨
keane 킨
keanu 키아누
kearney 키어니
kearny 커니
keasbey 키즈비
keating 키팅
keaton 키튼
keats 키츠
kechi 케치
kedo 케도
kedron 케드론
keedysville 키디스빌
keel 킬
keeling 킬링
keenan 키넌
keene 킨
keeneland 킨랜드
keenesburg 키니스버그
keep 키프
keep 킵
keeper 키퍼
keeping 키핑
keeth 키스
keewatin 키웨이틴
keflezighi 케플레지기
keira 키라
keiser 카이저
keitel 카이텔
keith 키스
keithsburg 키스버그
kekkonen 케코넨
kell 켈
kelleher 켈러허
keller 켈러
kellermann 켈러만
kelley 켈리
kellogg 켈로그
kelly 켈리
kellyton 켈리턴
kellyville 켈리빌
kelmet 켈밋
keloid 켈로이드
kelowna 켈로나
kelowna 킬로나
kelp 켈프
kelsen 켈젠
kelsey 켈시
kelso 켈소
kelvin 켈빈
kemah 키마
kemanche 케만체
kemble 켐블
kemmons 케먼스
kemp 켐프
kemper 켐퍼
kempff 켐프
kempis 켐피스
kempner 켐프너
kempton 켐프턴
ken 켄
kenaf 케나프
kenai 케나이
kenansville 케넌스빌
kenbridge 켄브리지
kendall 켄달
kendall 켄돌
kendall 켄들
kendra 켄드라
kendrew 켄드루
kendrick 켄드릭
kenduskeag 켄덕스키그
kenedy 케네디
kenilworth 케닐워스
kenly 켄리
kenmare 켄메어
kenmore 켄모어
kenna 켄나
kennan 케난
kennan 케넌
kennard 케너드
kennebunk 케네벙크
kennebunkport 케네벙크포트
kennedale 케너데일
kennedy 케네디
kennelly 케널리
kenner 케너
kennesaw 케너소
kennesaw 케네소
kenneth 케네스
kenneth 케니스
kennett 케네트
kennewick 케너윅
kenney 케니
kenny 케니
keno 키노
kenoma 키노마
kenora 커노라
kenosha 커노샤
kenotron 케노트론
kensing 켄싱
kensington 켄싱턴
kent 켄트
kentland 켄틀랜드
kenton 켄턴
kentuck 켄터크
kentucky 켄터키
kentwood 켄트우드
kenwood 켄우드
kenya 케냐
kenyatta 케냐타
kenyon 케년
keo 케오
keokuk 키오쿡
kepler 케플러
keratin 케라틴
kerby 커비
kerenskii 케렌스키
kerik 케릭
kerikeri 케리케리
kerkorian 커코리언
kerkyra 케르키라
kerma 커마
kermadec 케르마데크
kerman 커맨
kermit 커밋
kern 컨
kernersville 커너스빌
kernstown 컨스타운
kerogen 케로겐
kerouac 케루악
kerr 커
kerri 케리
kerrick 케릭
kerron 케런
kerrville 커빌
kerry 케리
kerschensteiner 케르셴슈타이너
kersey 커지
kershaw 커쇼
kershner 커슈너
kerz 커즈
kesey 키지
kesley 키슬리
kessel 케셀
keswick 케스윅
keswick 케즈윅
keswick 케직
ketamine 케타민
ketchikan 케치칸
ketchum 케첨
ketchup 케찹
ketchup 케첩
ketene 케텐
ketoconazole 케토코나졸
ketohexose 케토헥소오스
ketol 케톨
ketone 케톤
ketose 케토오스
kettering 케터링
kettle 케틀
kettledrum 케틀드럼
keuchel 카이클
kevil 케빌
kevin 케빈
kevorkian 키보키언
kewanee 케와니
kewanee 키와니
kewaunee 케오니
kewell 큐얼
key 케이
key 키
keyboard 키보드
keyer 키어
keyes 키스
keyesport 키즈포트
keying 키잉
keymar 키마
keynes 케인스
keynote 키노트
keyport 키포트
keys 키스
keyser 카이저
keyserling 카이절링
keysville 키스빌
keysville 키즈빌
keyton 키턴
keywest 키웨스트
kgb 케이지비
khabarovsk 하바로프스크
khaki 카키
khaliifa 칼리파
khan 칸
khanna 카나
kharluk 카를루크
khartoum 카르툼
khellin 켈린
khepera 케페라
kherson 헤르손
khnemu 크네무
khnum 크눔
khomeini 호메이니
khons 콘스
khorchin 호르친
khorsabad 코르사바드
khrushchyov 흐루쇼프
khubilai 쿠빌라이
khufu 쿠푸
khwarizmi 콰리즈미
kiama 키아마
kiana 키아나
kiang 키앙
kibble 키블
kibbutz 키부츠
kicaster 키캐스터
kick 킥
kickapoo 키카푸
kickball 킥볼
kickboxing 킥복싱
kicking 키킹
kickoff 킥오프
kickout 킥아웃
kid 키드
kidd 키드
kidder 키더
kidman 키드먼
kidnap 키드냅
kidnet 키드넷
kidron 키드런
kief 키프
kiefer 키퍼
kiel 키엘
kiel 킬
kier 키어
kieran 키런
kierkegaard 키르케고르
kiernan 키어넌
kiesanowski 키에사노프스키
kieserite 키저라이트
kiesinger 키징거
kiev 키예프
kigali 키갈리
kilauea 킬라우에아
kilbourne 킬본
kileville 카일빌
kilgore 킬고어
kilimanjaro 킬리만자로
kilkenny 킬케니
kill 킬
killarney 킬라니
killdeer 킬디어
killeen 킬린
killen 킬렌
killer 킬러
killington 킬링턴
killingworth 킬링워스
kilmarnock 킬마녹
kilmog 킬모그
kilmore 킬모어
kilo 킬로
kiloampere 킬로암페어
kilobar 킬로바
kilobyte 킬로바이트
kilocalorie 킬로칼로리
kilocurie 킬로퀴리
kilocycle 킬로사이클
kilogram 킬로그램
kilogramcalorie 킬로그램칼로리
kilogrammeter 킬로그램미터
kilohertz 킬로헤르츠
kilohm 킬로옴
kilojoule 킬로줄
kiloliter 킬로리터
kilomegacycle 킬로메가사이클
kilometer 킬로미터
kiloparsec 킬로파섹
kiloster 킬로스터
kiloton 킬로톤
kilovolt 킬로볼트
kilovoltmeter 킬로볼트미터
kilowatt 킬로와트
kilpinen 킬피넨
kilt 킬트
kim 김
kim 킴
kimball 킴벌
kimball 킴볼
kimberley 킴벌리
kimberlite 킴벌라이트
kimberly 킴벌리
kimble 킴블
kimbrel 킴브럴
kimmins 키민스
kimmitt 키밋
kimon 키몬
kimper 킴퍼
kincaid 킨케이드
kincheloe 킨치로이
kind 카인드
kinder 카인더
kinderhook 킨더후크
kinderhook 킨더훅
kindi 킨디
kindle 킨들
kindler 킨들러
kindred 킨드레드
kinepanorama 키네파노라마
kinesics 키니식스
kinesiology 키네시올로지
kinetin 키네틴
kinetograph 키네토그래프
kinetophone 키네토폰
kinetoscope 키네토스코프
king 킹
kingdom 킹덤
kingfisher 킹피셔
kingman 킹맨
kingman 킹먼
kings 킹스
kingsburg 킹스버그
kingsbury 킹스베리
kingsford 킹스퍼드
kingsland 킹스랜드
kingsland 킹즈랜드
kingsland 킹즐랜드
kingsley 킹슬리
kingsley 킹즐리
kingspoint 킹스포인트
kingsport 킹스포트
kingsport 킹즈포트
kingston 킹스턴
kingston 킹스톤
kingstown 킹스타운
kingstowne 킹스타운
kingsville 킹스빌
kingsville 킹즈빌
kingwood 킹우드
kinikinik 키니키닉
kinin 키닌
kink 킹크
kinkajou 킨카주
kinloch 킨로츠
kinlock 킨록
kinmundy 킨먼디
kinnear 키니어
kinney 키니
kinnock 키넉
kinross 킨로스
kinsey 킨제이
kinshasa 킨샤사
kinsley 킨즐리
kinsman 킨스먼
kinston 킨스턴
kinta 킨타
kintner 킨트너
kintyre 킨타이어
kinzer 킨저
kinzinger 킨징어
kiosk 키오스크
kiowa 카이오와
kipling 키플링
kipp 키프
kirby 커비
kirbyville 커비빌
kircher 키르허
kirchhoff 키르히호프
kirchner 키르히너
kiritimati 키리티마티
kirk 커크
kirkcaldy 커콜디
kirkland 커크랜드
kirkland 커클랜드
kirkland 커클런드
kirklin 커클린
kirkman 커크먼
kirkpatrick 커크패트릭
kirksville 커크스빌
kirkville 커크빌
kirkwall 커크월
kirkwood 커크우드
kiro 카이로
kiron 키런
kirsten 커스틴
kirtland 커트랜드
kirunavaara 키루나바라
kirvin 커빈
kirwin 커윈
kirzner 커즈너
kiska 키스카
kismet 키즈밋
kisner 키스너
kiss 키스
kissimmee 키시미
kissinger 키신저
kissling 키슬링
kist 키스트
kistler 키슬러
kit 키트
kitai 키타이
kitchen 키친
kitchener 키치너
kite 카이트
kitoon 카이툰
kitsilano 키칠라노
kittery 키터리
kittila 키틸라
kittitas 키티타스
kivalina 키발리나
kivi 키비
kiwi 키위
kkk 케이케이케이
klaasville 클라스빌
klabund 클라분트
klacking 클라킹
klages 클라게스
klaproth 클라프로트
klawock 클라워크
klaxon 클랙슨
kleberg 클레이버그
klein 클라인
kleinite 클라이나이트
kleist 클라이스트
klete 클리트
klim 클림
klimt 클림트
kline 클라인
klinger 클링거
klinokinesis 클리노키네시스
klondike 클론다이크
klopp 클롭
klopstock 클롭슈토크
kloten 클로텐
klydonograph 클리도노그래프
klystron 클라이스트론
knapp 냅
knapsack 냅색
kneader 니더
kneehold 니홀드
knickerbocker 니커보커
knickerbockers 니커보커스
knickers 니커스
knierim 크니림
knies 크니스
knife 나이프
knight 나이트
knightdale 나이트데일
knightley 나이틀리
knights 나이츠
knit 니트
knitting 니팅
knob 노브
knobel 노벨
knobs 놉스
knock 노크
knockdown 녹다운
knocker 노커
knocking 노킹
knockout 녹아웃
knollwood 놀우드
knot 노트
knott 노트
knott 놋
knowhow 노하우
knowledge 날리지
knowles 놀스
knowlton 크놀턴
knox 녹스
knoxville 녹스빌
knucklefour 너클포
knucklepart 너클파트
knut 크누트
ko 케이오
koala 코알라
kobe 고베
kobilka 코빌카
kobuk 코벅
koch 코크
koch 코흐
kochanowski 코하노프스키
kocher 코허
kocherlakota 코철러코타
kochi 고치
kochi 코치
kochville 코크빌
kodak 코닥
kodak 코댁
kodiak 코디아크
kodiak 코디액
koehler 콜러
koehler 쾰러
koepka 켑카
koepp 켑
koestler 케스틀러
koffka 코프카
kogan 코간
kohler 콜러
kohn 콘
kohukohu 코후코후
kok 콕
kokomo 코커모
kokomo 코코모
kokoschka 코코슈카
kolbe 콜베
kolbenheyer 콜벤하이어
kolberg 콜버그
kollwitz 콜비츠
kolmogorov 콜모고로프
kolo 콜로
koltsov 콜초프
komatke 코마케
komatsu 고마츠
komisarz 코미사즈
kompas 콤파스
kon 콘
kona 코나
konarak 코나라크
konawa 코나와
kondratiev 콘드라티예프
konimeter 코니미터
konrad 콘라트
konya 코니아
koons 쿤스
kooskia 쿠스키아
kootenai 쿠트나이
koplove 코플로브
kopp 코프
koran 코란
korat 코라트
korbel 코블
korda 코르다
kore 코레
korea 코리아
korean 코리안
korholz 코롤즈
korinthos 코린토스
kornet 코네트
korona 코로나
koror 코로르
kortright 코트라이트
koruna 코루나
kosciusko 코스키우스코
kosciusko 코지어스코
koskinen 코스키넌
kosmos 코스모스
kossel 코셀
kossuth 코수스
kossuth 코슈트
kosygin 코시긴
kotzebue 코체부
koum 쿰
kountze 쿤츠
kousso 쿠소
kouts 커츠
kovar 코바
koylton 코일턴
kozlova 코즐로바
kozlowski 커즐라우스키
krabi 크라비
kraepelin 크레펠린
krafcik 크래프칙
kraft 크라프트
krain 크레인
krakow 크라코
krakow 크라코프
kramer 크레이머
krasnoyarsk 크라스노야르스크
kraus 크라우스
krause 크라우제
krauss 크라우스
kraut 크라우트
krauthammer 크라우트해머
kravitz 크래비츠
krawcheck 크로첵
krayzelburg 크레이젤버그
krebs 크레브스
krebs 크렙스
kreek 크리크
kremlin 크레믈린
kremlin 크렘린
kremlinology 크렘리놀로지
kremmling 크레믈링
kress 크레스
kretschman 크레치먼
kretschmer 크레치머
kreutzer 크로이처
krill 크릴
kris 크리스
kristen 크리스틴
kristina 크리스티나
kristof 크리스토프
krkara 크리카라
kroeber 크로버
krogh 크로그
kroisos 크로이소스
krok 크로크
krokodil 크로코딜
krone 크로네
kronecker 크로네커
kroto 크로토
kruczkowski 크루치코프스키
krueger 크루거
krugerville 크루거빌
krugman 크루그먼
krumpholz 크럼폴츠
krupp 크루프
krylov 크릴로프
krypton 크립톤
krzanich 크러재니치
ks 케이에스
kuantan 콴탄
kubrick 큐브릭
kuchar 쿠처
kuching 쿠칭
kuchins 커친스
kudu 쿠두
kuhn 쿤
kuhnau 쿠나우
kukryniksy 쿠크리닉시
kukui 쿠쿠이
kulan 쿨란
kullman 쿨먼
kumamoto 구마모토
kumari 쿠마리
kumeu 쿠메우
kummer 쿠머
kun 쿤
kuna 쿠나
kundt 쿤트
kuopio 쿠오피오
kupets 쿠페츠
kuprin 쿠프린
kurnakovite 커너코바이트
kuropatkin 쿠로팟킨
kurt 커트
kurume 쿠루메
kurzweil 커즈와일
kusaie 쿠사이에
kushiro 쿠시로
kushla 쿠슐라
kutahya 퀴타히아
kuttawa 쿠타와
kuusamo 쿠사모
kuwait 쿠웨이트
kuznetsov 쿠즈네초프
kuznitza 쿠즈니차
kwajalein 콰절레인
kwan 콴
kyburz 카이버즈
kyd 키드
kyle 카일
kylie 카일리
kymograph 카이모그래프
kynureine 키뉴레닌
kyrgios 키리오스
kyrgyzstan 키르기스스탄
kyrillos 키릴로스
kyu 큐
l 엘
lab 랩
labanotation 라바노테이션
label 라벨
label 레이블
labeling 레이블링
labelle 라벨
labelle 러벨
labetalol 라베탈롤
labette 라벳
labiche 라비슈
labrador 라브라도르
labrador 래브라도
labyrinthos 라비린토스
labyrinthula 라비린툴라
lac 랙
lacaille 라카유
lacan 라캉
lacarne 라칸
lace 레이스
lacey 레이시
lachemann 래크먼
lachenalia 라케날리아
lachmann 라흐만
lachowicz 러호비치
lackawanna 래커워너
lackey 래키
laclede 라클레드
laclos 라클로
lacon 라콘
lacon 레이컨
lacona 라코나
laconia 라코니아
laconia 래코니아
lacordaire 라코르데르
lacoste 라코스테
lacq 라크
lacquer 래커
lacretelle 라크르텔
lacrosse 라크로스
lactam 락탐
lactantius 락탄티우스
lactase 락타아제
lactide 락티드
lactim 락팀
lactoflavin 락토플래빈
lactoglobulin 락토글로불린
lactone 락톤
lactose 락토오스
ladbrokes 래드브룩스
ladd 래드
laddertron 래더트론
ladiesburg 레이디스버그
ladoga 라도가
ladonia 라도니아
ladora 라도라
ladue 라듀
lady 레이디
ladysmith 레이디스미스
lae 라에
lael 레이얼
laes 엘에이이에스
lafargue 라파르그
lafayette 라파엣
lafayette 라파예트
lafayette 라피엣
lafe 라페
lafleur 러플러
lafontaine 라퐁텐
lafromboise 라프롬보이스
lagash 라가시
lagerkvist 라게르크비스트
lagos 라고스
lagrange 라그랜지
lagro 라그로
lahaina 라하이나
lahoma 라호마
lahore 라호르
lahti 라티
laia 엘에이아이에이
laingsburg 랭스버그
laird 레어드
lake 레이크
lakebay 레이크베이
lakedaimon 라케다이몬
lakefield 레이크필드
lakehills 레이크힐스
lakehurst 레이크허스트
lakeland 레이크랜드
lakeland 레이클랜드
lakeport 레이크포트
lakeshire 레이크샤이어
lakeside 레이크사이드
lakesite 레이크사이트
laketon 레이크턴
laketown 레이크타운
lakeview 레이크뷰
lakeville 레이크빌
lakeway 레이크웨이
lakewood 레이크우드
lakin 라킨
lakota 라코타
lalande 랄랑드
lalo 랄로
lama 라마
lamar 라마
lamar 러마
lamarck 라마르크
lamarckisme 라마르키슴
lamarr 라마
lamartine 라마르틴
lamaze 러마즈
lamb 램
lambada 람바다
lambert 람베르트
lambert 램버트
lamberton 램버튼
lambertville 램버트빌
lambeth 램버스
lamborghini 람보르기니
lambourne 램본
lambsburg 램즈버그
lamella 라멜라
lamennais 라므네
lamesa 라메사
lamesa 러미사
laminarin 라미나린
laminate 래미네이트
lamington 래밍턴
lamoine 라모인
lamoni 라모니
lamont 라몬트
lamont 러몬트
lamotte 라모트
lamoure 라무르
lamp 램프
lampasas 램패서스
lampe 램프
lampedusa 람페두사
lamprecht 람프레히트
lan 랜
lanai 라나이
lanark 래나크
lanark 래너크
lancard 랜카드
lancaster 랑캐스터
lancaster 랭커스터
lance 랜스
lancers 랜서스
lancet 랜싯
lancing 랜싱
land 랜드
landa 랜다
landau 란다우
lander 랜더
landers 랜더스
landfall 랜드폴
landgraff 랜드그라프
landing 랜딩
landis 랜디스
landrieu 랜드루
landry 랑드리
landsat 랜드샛
landsteiner 란트슈타이너
lane 레인
lanesboro 레인즈버러
lanesboro 레인즈버로
lanesville 레인즈빌
lanett 라넷
laneview 레인뷰
laney 레이니
lang 랭
langdon 랭던
lange 랑게
lange 랑에
lange 랭
lange 롱이
langer 랭어
langerhans 랑게르한스
langevin 랑주뱅
langford 랭퍼드
langkawi 랑카위
langlade 랭글레이드
langland 랭글런드
langley 랭글리
langlois 랑글루아
langmuir 랭뮤어
langridge 랭그리지
langshan 랑산
langston 랭스턴
langtry 랭트리
language 랭귀지
languedoc 랑그도크
langworth 랭워스
langworthy 랭워시
lanham 랜햄
lanier 러니어
lanital 라니탈
lankester 랭케스터
lanne 랜
lanolin 라놀린
lansing 랜싱
lanson 랑송
lant 랜트
lantana 란타나
lantana 랜태나
lantern 랜턴
lanthanide 란타니드
lanthanoid 란타노이드
lanthanum 란타넘
lanton 랜턴
lanty 랜티
laocoon 라오콘
laokay 라오까이
laomedon 라오메돈
laon 랑
laona 라오나
laos 라오스
lap 랩
lapboard 랩보드
lapeer 라피어
lapel 라펠
lapierre 라피에어
laplace 라플라스
lapland 라플란드
laporta 라포타
laporte 라포트
laporte 러포트
lapp 랩
lappi 라피
lappin 래핀
lapping 래핑
laptop 랩탑
lara 라라
laramie 래러미
larbaud 라르보
larchwood 라치우드
lard 라드
lardner 라드너
laredo 라리도
laredo 러레이도
lares 라레스
largo 라고
largo 라르고
larisa 라리사
lark 라크
larkin 라킨
larkspur 라크스퍼
larmer 라머
larnaca 라나카
larned 라니드
larousse 라루스
larrabee 래러비
larry 래리
larsen 라슨
larsmont 라스몬트
larson 라슨
lartet 라르테
larto 라토
larue 라루
larue 러루
lasalle 라샐
lasca 라스카
laser 레이저
lashawn 라숀
lashko 래슈코
lasker 래스커
laski 래스키
lasry 래즈리
lasseter 래시터
lassus 라수스
lasswell 라스웰
last 라스트
lastrup 라스트럽
latakia 라타키아
latch 래치
laterite 라테라이트
latex 라텍스
lath 라스
latham 래섬
latham 레이섬
lathrop 라스롭
latimer 라티머
latimer 래티머
latin 라틴
latitude 래티튜드
latium 라티움
latium 레이시엄
latona 래토나
latrobe 러트로브
lattimore 라티모어
latvia 라트비아
laud 로드
lauder 로더
lauderdale 로더데일
lauderhill 로더힐
laue 라우에
lauer 로르
laughlin 라플린
laughter 래프터
launceston 론서스턴
launcher 런처
laura 로라
laurana 라우라나
laurasia 로라시아
laurel 라우렐
laurel 로럴
laurel 로렐
lauren 로런
laurencin 로랑생
laurens 로랑스
laurens 로런스
laurens 로렌스
laurent 로랑
laurier 로리에
laurinburg 로린버그
lauryn 로린
lausanne 로잔
lauterbur 라우터버
lauterstein 로터스타인
lautrec 로트레크
lavaca 라바카
lavaca 러배카
laval 라발
lavalette 라밸릿
lavash 라바슈
lavater 라바터
lavatera 라바테라
lavender 라벤더
laverant 라브랑
laverick 래버릭
laverne 라번
lavery 레이버리
lavina 라비나
lavoisier 라부아지에
lavonia 라보니아
lavonia 러보니아
law 로
lawen 로웬
lawler 롤러
lawn 론
lawndale 론데일
lawrence 로런스
lawrence 로렌스
lawrenceburg 로렌스버그
lawrenceville 로렌스빌
lawrencium 로렌슘
lawrie 로리
laws 로스
lawson 로슨
lawtey 라우티
lawton 라우튼
lawton 로턴
lax 락스
lax 랙스
laxator 락사토르
layer 레이어
layland 레일랜드
layne 레인
layout 레이아웃
layton 레이턴
lazare 라자르
lazio 래지오
lazy 레이지
lcm 엘시엠
lct 엘시티
ldl 엘디엘
ldr 엘디아르
leach 리치
lead 리드
leadbetter 레드베터
leader 리더
leadership 리더쉽
leadership 리더십
leadington 리딩턴
leadman 리드맨
leadville 레드빌
leadwood 리드우드
leaflet 리플릿
league 리그
leagueville 리그빌
leahy 레이히
leakey 리키
leal 릴
leamington 레밍턴
leamington 리밍턴
lean 린
leander 리앤더
leander 린더
learned 러니드
leary 리리
leary 리어리
leasburg 리스버그
lease 리스
leather 레더
leavenworth 레번워스
leavis 리비스
leavitt 레빗
leavittsville 리비츠빌
leawood 리우드
lebanon 레바논
lebanon 레버넌
lebedev 레베데프
lebesgue 르베그
leblanc 르블랑
lebo 레보
lecirin 레시린
lecithin 레시틴
leckie 레키
leclerc 르클레르
lecoma 리코마
lecompte 레콤트
lecompton 르컴튼
lectin 렉틴
led 엘이디
leda 레다
ledbetter 레드베터
ledecky 러데키
ledford 레드퍼드
ledford 레드포드
ledgewood 레지우드
ledyard 레디어드
lee 리
leeds 리즈
leefield 리필드
leek 리크
leeman 리먼
leeper 리퍼
leesburg 리스버그
leesburg 리즈버그
leesville 리스빌
leesville 리즈빌
leet 리트
leeton 리턴
leewood 리우드
lefebvre 르페브르
lefkowitz 레프코위츠
lefor 르포
leg 레그
legacy 레거시
legatissimo 레가티시모
leggett 레깃
leggings 레깅스
legion 레기온
legionella 레지오넬라
lego 레고
legrande 레그랜드
leguizamo 레귀자모
legumin 레구민
lehi 리하이
lehigh 리하이
lehmann 레만
lehmbruck 렘브루크
lei 레이
leiandros 레이안드로스
leiber 리버
leibl 라이블
leibniz 라이프니츠
leicester 레스터
leicester 리스타
leicestershire 레스터셔
leigh 리
leighton 레이턴
leiper 리퍼
leipheimer 라이파이머
leiris 레리
leisel 리즐
leishman 리슈먼
leisure 레저
leitchfield 라이치필드
leiter 라이터
leith 리스
leivasy 리버시
leland 릴랜드
leloir 를루아르
leloup 르룹
lemhi 레미
leming 레밍
lemington 레밍턴
lemire 르미르
lemming 레밍
lemmon 레먼
lemniscate 렘니스케이트
lemon 레몬
lemonade 레모네이드
lemongrass 레몬그라스
lemons 레몬스
lemoore 르무어
lemoyne 르모인
lena 레나
lena 리나
lenard 레나르트
leneve 르네브
lenexa 르넥사
lenihan 레니헌
lenin 레닌
lennox 레녹스
lenny 레니
lenoir 르노어
lenoir 르누아르
lenora 레노라
lenore 레노어
lenormand 르노르망
lenox 레녹스
lens 렌즈
lenton 렌턴
lenz 렌츠
leo 레오
leo 리오
leola 레올라
leominster 레민스터
leon 레온
leon 리언
leona 레오나
leona 리오나
leonard 레너드
leonardo 리어나도
leonards 레오나즈
leonardtown 레너드타운
leoncavallo 레온카발로
leonidas 레오니다스
leonidas 리오니다스
leonore 리어노어
leopard 레오파드
leopold 레오폴드
leopolis 레오폴리스
leopon 레오폰
leora 리오라
leotard 레오타드
lepanto 레판토
lepeniotis 레페니오티스
lepidocyclina 레피도시클리나
lepidodendron 레피도덴드론
lepidosiren 레피도사이렌
lepidus 레피두스
leptocephalus 렙토세팔루스
lepton 렙톤
leptosiphon 렙토시폰
leptospira 렙토스피라
lerman 러먼
lermontov 레르몬토프
leroux 레루
leroy 리로이
lerwick 러윅
lesage 르사주
lesage 르사즈
lesbian 레즈비언
leskov 레스코프
lesley 레슬리
leslie 레슬리
lesotho 레소토
lesseps 레셉스
lessie 레시
lessig 레시그
lessing 레싱
lesson 레슨
lessor 레서
lester 레스터
lesya 레샤
let 레트
letcher 레처
letcher 레쳐
letchworth 레치워스
letha 레타
lethbridge 레스브리지
lethe 레테
letitia 러티샤
letitia 르티샤
leto 레토
letohatchee 레토핫키
letona 레토나
letter 레터
letter 레테르
letterbox 레터박스
letterbox 레터복스
lettering 레터링
letts 레츠
leuchs 룩스
leucippos 레우키포스
leuckart 로이카르트
leukotrien 류코트리엔
levada 러베이다
levan 레반
levant 리밴트
level 레벨
levelland 레벌랜드
levels 레벨스
lever 레버
leverett 레버렛
leverrier 르베리에
levi 레비
levi 리바이
levin 레빈
levin 르빈
levine 러바인
levine 러빈
levirate 레비레이트
levis 리바이스
levis 리비스
levy 레비
lew 루
lewandowski 루언다우스키
lewes 루이스
lewinsky 르윈스키
lewis 루이스
lewisburg 루이스버그
lewisite 루이사이트
lewiston 루이스턴
lewistown 루이스타운
lewisville 루이스빌
lex 렉스
lexa 렉사
lexi 렉시
lexington 렉싱턴
leyden 라이든
leyden 레이든
leyte 레이테
lezak 리잭
lf 엘에프
lg 엘지
lhota 로타
lhote 로트
liam 리엄
liane 리안
lianne 리앤
libby 리비
liber 리베르
liberace 리버라치
liberal 리버럴
liberia 라이베리아
libero 리베로
liberty 리버티
libertyville 리버티빌
libido 리비도
library 라이브러리
libuse 리부셰
license 라이선스
lichtenberg 리히텐베르크
lichtman 릭트먼
licinius 리키니우스
licking 리킹
lidar 라이다
lidocaine 리도카인
lie 라이
lie 리
lieberman 리버먼
liebermann 리베르만
liebig 리비히
liebknecht 리프크네히트
lien 리언
life 라이프
lifesaving 라이프세이빙
lifestyle 라이프스타일
lifo 엘아이에프오
lift 리프트
lifting 리프팅
ligand 리간드
ligase 리가아제
liger 라이거
light 라이트
lighter 라이터
lightfoot 라이트풋
lignin 리그닌
lignite 리그나이트
lignocaine 리그노카인
ligonier 리고니어
ligroin 리그로인
lihue 리후에
like 라이크
likely 라이클리
lila 라일라
lilac 라일락
lilbourn 릴본
lilburn 릴번
liliencron 릴리엔크론
lilienthal 릴리엔솔
lilienthal 릴리엔탈
liliuokalani 릴리우오칼라니
lilley 릴리
lillian 릴리안
lillington 릴링턴
lillis 릴리스
lilly 릴리
lillydale 릴리데일
lilongwe 릴롱궤
lily 릴리
lilydale 릴리데일
lima 라이마
lima 라이머
lima 리마
limavady 리머배디
limbo 림보
limbourg 랭부르
limburg 림뷔르흐
lime 라임
limelight 라임라이트
limerick 리머릭
limestone 라임스톤
limington 리밍턴
limon 리몬
limonene 리모넨
limonite 리모나이트
limousine 리무진
lin 린
linalool 리날로올
linch 린치
lincicome 린시컴
lincoln 링컨
lincolnshire 링컨셔
lincolnton 링컨턴
lincomycin 린코마이신
lind 린드
linda 린다
lindale 린데일
lindane 린덴
lindbergh 린드버그
linde 린데
linden 린던
linden 린든
lindentree 린든트리
lindley 린들리
lindon 린던
lindose 린도즈
lindsay 린지
lindsborg 린즈보그
lindsey 린지
lindstrom 린드스트롬
lindy 린디
line 라인
lineage 리니지
lineament 리니어먼트
linear 리니어
linearization 리니어라이제이션
lineburg 라인버그
linefeed 라인피드
linen 리넨
liner 라이너
lineville 라인빌
linford 린퍼드
lingerie 란제리
lingle 링글
liniment 리니먼트
lining 라이닝
link 링크
linkage 링키지
linkedin 링크트인
linker 링커
linn 린
linneus 린네
linnsburg 린스버그
linoleum 리놀륨
linotype 라이노타이프
linoxyn 리녹신
lint 린트
linter 린터
linton 린턴
linux 리눅스
linville 린빌
linwood 린우드
linz 린츠
lion 라이온
lion 리온
lionel 라이어널
liouville 리우빌
lip 립
lipase 리페이스
lipatti 리파티
lipidosis 리피도시스
lipman 리프먼
lipoid 리포이드
liposome 리포솜
lipotropin 리포트로핀
lippert 리퍼트
lippi 리피
lippmann 리프만
lippmann 리프먼
lipps 립스
lipscomb 립스컴
lipstick 립스틱
lipton 립턴
liqueur 리큐어
lis 리스
lisa 리사
lisbeth 리즈베스
lisbon 리스본
lisbon 리즈번
lisburn 리즈번
liscomb 리스콤
lisianski 리시안스키
lisle 라일
lisman 리스만
lismore 리스모어
lismore 리즈모어
lisp 리스프
lissajous 리사주
list 리스트
lister 리스터
liszt 리스트
litchfield 리치필드
liter 리터
lithgow 리스고
