a 에이
jendrick 젠드릭
jenga 젠가
jenison 제니슨
jenkins 젠킨스
jenks 젠크스
jenna 제나
jenneke 제너커
jenner 제너
jenners 제너스
jennette 제네트
jenney 제니
jennie 제니
jennifer 제니퍼
jennings 제닝스
jenny 제니
jensen 옌센
jenson 젠슨
jeon 전
jepsen 젭슨
jere 제레
jeremy 제러미
jeria 제리아
jericho 제리코
jermyn 저민
jerome 제롬
jerrold 제럴드
jerry 제리
jersey 저지
jerusalem 제루살렘
jess 제스
jesse 제시
jessica 제시카
jessner 예스너
jessye 제시
jester 제스터
jesuit 제수이트
jesup 제섭
jet 제트
jeter 지터
jett 제트
jevons 제번스
jew 쥬
jewell 주얼
jewett 주잇
jewison 주이슨
jhering 예링
jib 지브
jig 지그
jigsaw 지그소
jihad 지하드
jill 질
jim 짐
jimmy 지미
jinair 진에어
jindal 진덜
jingoism 징고이즘
jinjiang 진지앙
jinn 진
jinnah 진나
jinx 징크스
jitterbug 지터버그
jizyah 지즈야
jo 조
joab 요압
joan 조앤
joann 조앤
joanna 조애나
joanne 조안
joannie 조아니
joaquin 와킨
job 잡
jobs 잡스
joc 족
jockey 자키
jodelle 조델
jodhpurs 조퍼스
jodie 조디
joe 조
joensuu 요엔수
joes 조스
joey 조이
joffre 조프르
jogging 조깅
johanns 조핸스
johannsen 요한센
johanson 조핸슨
john 존
johnny 자니
johns 존스
johnsburg 존스버그
johnson 욘존
johnston 존스턴
johnstown 존스타운
joiakim 요야김
joice 조이스
joiner 조이너
joines 조인스
joint 조인트
joinville 주앵빌
joke 조크
joker 조커
jolie 졸리
joliet 졸리엣
joliette 졸리엣
jolivet 졸리베
jolley 졸리
jolly 졸리
jolo 졸로
jolon 홀론
jon 존
jonas 요나스
jonathan 조나탕
jones 존스
jonesboro 존즈버러
jonesport 존스포트
jonestown 존스타운
jonson 욘손
joplin 조플린
joppa 조파
jordaens 요르단스
jordan 요르단
jorden 조든
jorge 호르헤
jose 호제이
josef 요제프
joseph 요제프
josephine 조세핀
josephson 조지프슨
josephus 요세푸스
josh 조쉬
joshua 조슈아
josiah 요시야
josquin 조스캥
joss 조스
jouhaux 주오
joule 줄
journal 저널
journey 저니
jouve 주브
jouvet 주베
joy 조이
joyce 조이스
joyner 조이너
jr 조지프
juab 주애브
juan 후안
juanita 주아니타
juba 주바
juchi 주치
jud 저드
juda 주다
judah 주다
judd 저드
judge 저지
judio 주디오
judson 저드슨
judt 젓
judy 주디
juggle 저글
juglar 쥐글라
jugurtha 유구르타
juice 주스
juicer 주서
jukebox 주크박스
jules 쥘
julia 줄리아
juliaetta 줄리에타
julian 줄리언
julich 줄리치
julie 줄리
julien 쥘리앵
juliette 줄리엣
julliard 줄리아드
jumbo 점보
jumbotron 점보트론
jump 점프
jumper 점퍼
jumptown 점프타운
junction 정션
juneau 주노
jung 융
jungar 중가르
jungle 정글
junior 주니어
juniper 주피터
junius 주니어스
junk 정크
junkers 융커스
juno 유노
jupiter 유피테르
jupon 즈봉
jussieu 쥐시외
just 저스트
justice 저스티스
justin 저스틴
justine 저스틴
justus 저스터스
jute 주트
juventas 유벤타스
jv 제이브이
k 케이
ka 카
kaala 카알라
kabul 카불
kachalov 카찰로프
kachemak 카체마크
kadet 카데트
kael 케일
kagan 케이건
kagoshima 가고시마
kagu 카구
kahn 칸
kahneman 카너먼
kahuku 카후쿠
kahului 카훌루이
kaikohe 카이코헤
kailua 카일루아
kaiser 카이저
kaist 카이스트
kaitlin 케이틀린
kaiwi 카이위
kakao 카카오
kakaotalk 카카오톡
kake 카케
kaktovik 카크토빅
kalaloch 클래록
kalalock 칼라록
kalama 캘러마
kalamazoo 캘러머
kalanchoe 칼랑코에
kalanick 캘러닉
kalawao 칼라와오
kale 케일
kaler 칼러
kaletsky 칼레츠키
kalevala 칼레발라
kalfax 칼팍스
kalgary 캘거리
kali 칼리
kalibo 깔리보
kalinin 칼리닌
kalispell 칼리스펠
kalmia 칼미아
kalodayin 칼로다인
kalona 칼로나
kalorie 칼로리
kaltag 캘태그
kamas 캐머스
kamen 케이멘
kamenev 카메네프
kamfer 캄프르
kami 캐미
kamiah 캠이아이
kamloops 캠루프스
kamrar 캠라
kanaan 가나안
kanab 캐나브
kanaka 카나카
kanawha 캐너와
kandilas 캔딜러스
kane 케인
kaneohe 카네오헤
kaneville 케인빌
kangaroo 캉가루
kangley 캥글리
kangli 캉글리
kankakee 캥커키
kano 카노
kanon 카논
kansas 캔자스
kant 칸트
kantharos 칸타로스
kantor 캔터
kanye 카녜이
kaohsiung 까오슝
kaolin 카올린
kapf 카프
kapila 카필라
kapitsa 카피차
kaplan 카플랜
kapok 케이폭
kapolei 카폴레이
kapoor 커푸어
kapp 카프
kappa 카파
kappler 캐플러
kapsel 캅셀
karachi 카라치
karaganda 카라간다
karajan 카라얀
karakhan 카라한
karamea 카라메아
karamzin 카람진
karen 캐런
karim 카림
karitane 카리타네
karl 카를
karlgren 칼그렌
karli 칼리
karnes 칸스
karp 카프
karrer 카러
karrie 카리
kars 카르스
karshi 카르시
kart 카트
kartman 카트먼
karval 카발
karyosome 카리오솜
kasaan 카산
kasack 카자크
kasane 카사네
kasavubu 카사부부
kasbeer 캐스비어
kaschnitz 카슈니츠
kashi 캐시
kasich 케이식
kassandra 카산드라
kassem 카셈
kassite 카시트
kasson 캐슨
kastler 카스틀러
kataev 카타예프
kate 케이트
katee 케이티
katharine 캐서린
kathepsin 카텝신
katherine 캐서린
kathleen 캐슬린
kathmandu 카트만두
kathryn 캐스린
kathy 캐시
katia 카티아
katie 케이티
katikati 카티카티
katmai 카트마이
katowice 카토비체
katrina 카트리나
katusa 카투사
katy 케이티
katyusha 카추샤
kauai 카우아이
kauffmann 카우프만
kaufman 코프먼
kaukauna 코코나
kaula 카울라
kauri 카우리
kauss 카우스
kautsky 카우츠키
kavanagh 캐버나
kavanaugh 캐배노
kawakawa 카와카와
kawerau 카웨라우
kay 케이
kayak 카약
kayser 카이저
kayseri 카이세리
kaysville 케이스빌
kazaa 카자
kazakh 카자흐
kazakov 카자코프
kazan 카잔
kdp 케이디피
keachie 키시
kean 킨
keane 킨
keanu 키아누
kearney 키어니
kearny 커니
keasbey 키즈비
keating 키팅
keaton 키튼
keats 키츠
kechi 케치
kedo 케도
kedron 케드론
keel 킬
keeling 킬링
keenan 키넌
keene 킨
keeneland 킨랜드
keep 키프
keeper 키퍼
keeping 키핑
keeth 키스
keewatin 키웨이틴
keira 키라
keiser 카이저
keitel 카이텔
keith 키스
kekkonen 케코넨
kell 켈
kelleher 켈러허
keller 켈러
kelley 켈리
kellogg 켈로그
kelly 켈리
kellyton 켈리턴
kelmet 켈밋
keloid 켈로이드
kelowna 켈로나
kelp 켈프
kelsen 켈젠
kelsey 켈시
kelso 켈소
kelvin 켈빈
kemah 키마
kemanche 케만체
kemble 켐블
kemmons 케먼스
kemp 켐프
kemper 켐퍼
kempff 켐프
kempis 켐피스
kempner 켐프너
kempton 켐프턴
ken 켄
kenaf 케나프
kenai 케나이
kenbridge 켄브리지
kendall 켄달
kendra 켄드라
kendrew 켄드루
kendrick 켄드릭
kenedy 케네디
kenly 켄리
kenmare 켄메어
kenmore 켄모어
kenna 켄나
kennan 케난
kennard 케너드
kennebunk 케네벙크
kennedale 케너데일
kennedy 케네디
kennelly 케널리
kenner 케너
kennesaw 케너소
kenneth 케네스
kennett 케네트
kennewick 케너윅
kenney 케니
kenny 케니
keno 키노
kenoma 키노마
kenora 커노라
kenosha 커노샤
kenotron 케노트론
kensing 켄싱
kent 켄트
kentland 켄틀랜드
kenton 켄턴
kentuck 켄터크
kentucky 켄터키
kentwood 켄트우드
kenwood 켄우드
kenya 케냐
kenyatta 케냐타
kenyon 케년
keo 케오
keokuk 키오쿡
kepler 케플러
keratin 케라틴
kerby 커비
kerenskii 케렌스키
kerik 케릭
kerikeri 케리케리
kerkorian 커코리언
kerkyra 케르키라
kerma 커마
kerman 커맨
kermit 커밋
kern 컨
kernstown 컨스타운
kerogen 케로겐
kerouac 케루악
kerr 커
kerri 케리
kerrick 케릭
kerron 케런
kerrville 커빌
kerry 케리
kersey 커지
kershaw 커쇼
kershner 커슈너
kerz 커즈
kesey 키지
kesley 키슬리
kessel 케셀
keswick 케스윅
ketamine 케타민
ketchikan 케치칸
ketchum 케첨
ketchup 케찹
ketene 케텐
ketol 케톨
ketone 케톤
ketose 케토오스
kettering 케터링
kettle 케틀
keuchel 카이클
kevil 케빌
kevin 케빈
kevorkian 키보키언
kewanee 케와니
kewaunee 케오니
kewell 큐얼
key 케이
keyboard 키보드
keyer 키어
keyes 키스
keyesport 키즈포트
keying 키잉
keymar 키마
keynes 케인스
keynote 키노트
keyport 키포트
keys 키스
keyser 카이저
keysville 키스빌
keyton 키턴
keywest 키웨스트
kgb 케이지비
khaki 카키
khaliifa 칼리파
khan 칸
khanna 카나
kharluk 카를루크
khartoum 카르툼
khellin 켈린
khepera 케페라
kherson 헤르손
khnemu 크네무
khnum 크눔
khomeini 호메이니
khons 콘스
khorchin 호르친
khubilai 쿠빌라이
khufu 쿠푸
khwarizmi 콰리즈미
kiama 키아마
kiana 키아나
kiang 키앙
kibble 키블
kibbutz 키부츠
kicaster 키캐스터
kick 킥
kickapoo 키카푸
kickball 킥볼
kicking 키킹
kickoff 킥오프
kickout 킥아웃
kid 키드
kidd 키드
kidder 키더
kidman 키드먼
kidnap 키드냅
kidnet 키드넷
kidron 키드런
kief 키프
kiefer 키퍼
kiel 키엘
kier 키어
kieran 키런
kiernan 키어넌
kiesinger 키징거
kiev 키예프
kigali 키갈리
kilbourne 킬본
kileville 카일빌
kilgore 킬고어
kilkenny 킬케니
kill 킬
killarney 킬라니
killdeer 킬디어
killeen 킬린
killen 킬렌
killer 킬러
kilmog 킬모그
kilmore 킬모어
kilo 킬로
kilobar 킬로바
kilocurie 킬로퀴리
kilogram 킬로그램
kilohm 킬로옴
kilojoule 킬로줄
kiloliter 킬로리터
kilometer 킬로미터
kiloster 킬로스터
kiloton 킬로톤
kilovolt 킬로볼트
kilowatt 킬로와트
kilpinen 킬피넨
kilt 킬트
kim 김
kimball 킴벌
kimberley 킴벌리
kimberly 킴벌리
kimble 킴블
kimbrel 킴브럴
kimmins 키민스
kimmitt 키밋
kimon 키몬
kimper 킴퍼
kincaid 킨케이드
kincheloe 킨치로이
kind 카인드
kinder 카인더
kindi 킨디
kindle 킨들
kindler 킨들러
kindred 킨드레드
kinesics 키니식스
kinetin 키네틴
king 킹
kingdom 킹덤
kingman 킹맨
kings 킹스
kingsburg 킹스버그
kingsbury 킹스베리
kingsford 킹스퍼드
kingsland 킹스랜드
kingsley 킹슬리
kingsport 킹스포트
kingston 킹스턴
kingstown 킹스타운
kingwood 킹우드
kinikinik 키니키닉
kinin 키닌
kink 킹크
kinkajou 킨카주
kinloch 킨로츠
kinlock 킨록
kinmundy 킨먼디
kinnear 키니어
kinney 키니
kinnock 키넉
kinross 킨로스
kinsey 킨제이
kinshasa 킨샤사
kinsley 킨즐리
kinsman 킨스먼
kinston 킨스턴
kinta 킨타
kintner 킨트너
kintyre 킨타이어
kinzer 킨저
kinzinger 킨징어
kiosk 키오스크
kiowa 카이오와
kipling 키플링
kipp 키프
kirby 커비
kircher 키르허
kirchner 키르히너
kirk 커크
kirkcaldy 커콜디
kirkland 커크랜드
kirklin 커클린
kirkman 커크먼
kirkville 커크빌
kirkwall 커크월
kirkwood 커크우드
kiro 카이로
kiron 키런
kirsten 커스틴
kirtland 커트랜드
kirvin 커빈
kirwin 커윈
kirzner 커즈너
kiska 키스카
kismet 키즈밋
kisner 키스너
kiss 키스
kissimmee 키시미
kissinger 키신저
kissling 키슬링
kist 키스트
kistler 키슬러
kit 키트
kitai 키타이
kitchen 키친
kitchener 키치너
kite 카이트
kitoon 카이툰
kitsilano 키칠라노
kittery 키터리
kittila 키틸라
kittitas 키티타스
kivalina 키발리나
kivi 키비
kiwi 키위
klabund 클라분트
klacking 클라킹
klages 클라게스
klawock 클라워크
klaxon 클랙슨
klein 클라인
klete 클리트
klim 클림
klimt 클림트
kline 클라인
klinger 클링거
klopp 클롭
kloten 클로텐
knapp 냅
knapsack 냅색
kneader 니더
kneehold 니홀드
knickers 니커스
knierim 크니림
knies 크니스
knife 나이프
knight 나이트
knightley 나이틀리
knights 나이츠
knit 니트
knitting 니팅
knob 노브
knobel 노벨
knobs 놉스
knock 노크
knockdown 녹다운
knocker 노커
knocking 노킹
knockout 녹아웃
knollwood 놀우드
knot 노트
knott 노트
knowhow 노하우
knowledge 날리지
knowles 놀스
knowlton 크놀턴
knox 녹스
knoxville 녹스빌
knut 크누트
ko 케이오
koala 코알라
kobe 고베
kobilka 코빌카
kobuk 코벅
koch 코크
kocher 코허
kochi 고치
kochville 코크빌
kodak 코닥
kodiak 코디아크
koehler 콜러
koepka 켑카
koepp 켑
koestler 케스틀러
koffka 코프카
kogan 코간
kohler 콜러
kohn 콘
kohukohu 코후코후
kok 콕
kokomo 코커모
kokoschka 코코슈카
kolbe 콜베
kolberg 콜버그
kollwitz 콜비츠
kolo 콜로
koltsov 콜초프
komatke 코마케
komatsu 고마츠
komisarz 코미사즈
kompas 콤파스
kon 콘
kona 코나
konarak 코나라크
konawa 코나와
konimeter 코니미터
konrad 콘라트
konya 코니아
koons 쿤스
kooskia 쿠스키아
kootenai 쿠트나이
koplove 코플로브
kopp 코프
koran 코란
korat 코라트
korbel 코블
korda 코르다
kore 코레
korea 코리아
korean 코리안
korholz 코롤즈
korinthos 코린토스
kornet 코네트
korona 코로나
koror 코로르
koruna 코루나
koskinen 코스키넌
kosmos 코스모스
kossel 코셀
kossuth 코수스
kosygin 코시긴
kotzebue 코체부
koum 쿰
kountze 쿤츠
kousso 쿠소
kouts 커츠
kovar 코바
koylton 코일턴
kozlova 코즐로바
krabi 크라비
kraepelin 크레펠린
krafcik 크래프칙
kraft 크라프트
krain 크레인
krakow 크라코
kramer 크레이머
kraus 크라우스
krause 크라우제
krauss 크라우스
kraut 크라우트
kravitz 크래비츠
krawcheck 크로첵
krebs 크레브스
kreek 크리크
kremlin 크레믈린
kremmling 크레믈링
kress 크레스
kreutzer 크로이처
krill 크릴
kris 크리스
kristen 크리스틴
krkara 크리카라
kroeber 크로버
krogh 크로그
krok 크로크
krokodil 크로코딜
krone 크로네
kronecker 크로네커
kroto 크로토
krueger 크루거
krugman 크루그먼
krumpholz 크럼폴츠
krupp 크루프
krylov 크릴로프
krypton 크립톤
ks 케이에스
kuantan 콴탄
kubrick 큐브릭
kuchar 쿠처
kuching 쿠칭
kuchins 커친스
kudu 쿠두
kuhn 쿤
kuhnau 쿠나우
kukui 쿠쿠이
kulan 쿨란
kullman 쿨먼
kumamoto 구마모토
kumari 쿠마리
kumeu 쿠메우
kummer 쿠머
kun 쿤
kuna 쿠나
kundt 쿤트
kuopio 쿠오피오
kupets 쿠페츠
kuprin 쿠프린
kurt 커트
kurume 쿠루메
kurzweil 커즈와일
kusaie 쿠사이에
kushiro 쿠시로
kushla 쿠슐라
kutahya 퀴타히아
kuttawa 쿠타와
kuusamo 쿠사모
kuwait 쿠웨이트
kuznitza 쿠즈니차
kwajalein 콰절레인
kwan 콴
kyburz 카이버즈
kyd 키드
kyle 카일
kylie 카일리
kynureine 키뉴레닌
kyrgios 키리오스
kyrillos 키릴로스
kyu 큐
l 엘
lab 랩
label 라벨
labeling 레이블링
labelle 라벨
labetalol 라베탈롤
labette 라벳
labiche 라비슈
labrador 래브라도
lac 랙
lacaille 라카유
lacan 라캉
lacarne 라칸
lace 레이스
lacey 레이시
lachemann 래크먼
lachmann 라흐만
lachowicz 러호비치
lackey 래키
laclede 라클레드
laclos 라클로
lacon 라콘
lacona 라코나
laconia 라코니아
lacoste 라코스테
lacq 라크
lacquer 래커
lacrosse 라크로스
lactam 락탐
lactase 락타아제
lactide 락티드
lactim 락팀
lactone 락톤
lactose 락토오스
ladd 래드
ladoga 라도가
ladonia 라도니아
ladora 라도라
ladue 라듀
lady 레이디
lae 라에
lael 레이얼
lafargue 라파르그
lafayette 라파엣
lafe 라페
lafleur 러플러
lagash 라가시
lagos 라고스
lagrange 라그랜지
lagro 라그로
lahaina 라하이나
lahoma 라호마
lahore 라호르
lahti 라티
laird 레어드
lake 레이크
laketon 레이크턴
lakeview 레이크뷰
lakeville 레이크빌
lakin 라킨
lakota 라코타
lalande 랄랑드
lalo 랄로
lama 라마
lamar 라마
lamarck 라마르크
lamarr 라마
lamartine 라마르틴
lamaze 러마즈
lamb 램
lambada 람바다
lambert 람베르트
lamberton 램버튼
lambeth 램버스
lambourne 램본
lambsburg 램즈버그
lamella 라멜라
lamennais 라므네
lamesa 라메사
laminarin 라미나린
lamington 래밍턴
lamoine 라모인
lamoni 라모니
lamont 라몬트
lamotte 라모트
lamoure 라무르
lamp 램프
lampasas 램패서스
lampe 램프
lampedusa 람페두사
lan 랜
lanai 라나이
lanark 래나크
lancard 랜카드
lancaster 랑캐스터
lance 랜스
lancers 랜서스
lancet 랜싯
lancing 랜싱
land 랜드
landa 랜다
landau 란다우
lander 랜더
landers 랜더스
landfall 랜드폴
landing 랜딩
landis 랜디스
landrieu 랜드루
landry 랑드리
landsat 랜드샛
lane 레인
lanett 라넷
laneview 레인뷰
laney 레이니
lang 랭
langdon 랭던
lange 랑게
langer 랭어
langevin 랑주뱅
langford 랭퍼드
langkawi 랑카위
langland 랭글런드
langley 랭글리
langlois 랑글루아
langmuir 랭뮤어
langridge 랭그리지
langshan 랑산
langston 랭스턴
langtry 랭트리
language 랭귀지
languedoc 랑그도크
langworth 랭워스
lanham 랜햄
lanier 러니어
lanital 라니탈
lankester 랭케스터
lanne 랜
lanolin 라놀린
lansing 랜싱
lanson 랑송
lant 랜트
lantana 란타나
lantern 랜턴
lanthanum 란타넘
lanton 랜턴
lanty 랜티
laocoon 라오콘
laokay 라오까이
laomedon 라오메돈
laon 랑
laona 라오나
laos 라오스
lap 랩
lapboard 랩보드
lapeer 라피어
lapel 라펠
lapierre 라피에어
laplace 라플라스
lapland 라플란드
laporta 라포타
laporte 라포트
lapp 랩
lappi 라피
lappin 래핀
lapping 래핑
laptop 랩탑
lara 라라
laramie 래러미
larbaud 라르보
larchwood 라치우드
lard 라드
lardner 라드너
laredo 라리도
lares 라레스
largo 라고
larisa 라리사
lark 라크
larkin 라킨
larkspur 라크스퍼
larmer 라머
larnaca 라나카
larned 라니드
larousse 라루스
larrabee 래러비
larry 래리
larsen 라슨
larsmont 라스몬트
larson 라슨
lartet 라르테
larto 라토
larue 라루
lasalle 라샐
lasca 라스카
laser 레이저
lashawn 라숀
lashko 래슈코
lasker 래스커
laski 래스키
lasry 래즈리
lasseter 래시터
lassus 라수스
lasswell 라스웰
last 라스트
lastrup 라스트럽
latakia 라타키아
latch 래치
latex 라텍스
lath 라스
latham 래섬
lathrop 라스롭
latimer 라티머
latin 라틴
latitude 래티튜드
latium 라티움
latona 래토나
latrobe 러트로브
lattimore 라티모어
latvia 라트비아
laud 로드
lauder 로더
laue 라우에
lauer 로르
laughlin 라플린
laughter 래프터
launcher 런처
laura 로라
laurana 라우라나
laurasia 로라시아
laurel 라우렐
lauren 로런
laurencin 로랑생
laurens 로랑스
laurent 로랑
laurier 로리에
lauryn 로린
lausanne 로잔
lauterbur 라우터버
lautrec 로트레크
lavaca 라바카
laval 라발
lavalette 라밸릿
lavash 라바슈
lavater 라바터
lavatera 라바테라
lavender 라벤더
laverant 라브랑
laverick 래버릭
laverne 라번
lavery 레이버리
lavina 라비나
lavonia 라보니아
law 로
lawen 로웬
lawler 롤러
lawn 론
lawndale 론데일
lawrence 로런스
lawrie 로리
laws 로스
lawson 로슨
lawtey 라우티
lawton 라우튼
lax 락스
laxator 락사토르
layer 레이어
layland 레일랜드
layne 레인
layout 레이아웃
layton 레이턴
lazare 라자르
lazio 래지오
lazy 레이지
lcm 엘시엠
lct 엘시티
ldl 엘디엘
ldr 엘디아르
leach 리치
lead 리드
leader 리더
leadman 리드맨
leadville 레드빌
leadwood 리드우드
leaflet 리플릿
league 리그
leahy 레이히
leakey 리키
leal 릴
lean 린
leander 리앤더
learned 러니드
leary 리리
leasburg 리스버그
lease 리스
leather 레더
leavis 리비스
leavitt 레빗
leawood 리우드
lebanon 레바논
lebedev 레베데프
lebesgue 르베그
leblanc 르블랑
lebo 레보
lecirin 레시린
lecithin 레시틴
leckie 레키
leclerc 르클레르
lecoma 리코마
lecompte 레콤트
lecompton 르컴튼
lectin 렉틴
led 엘이디
leda 레다
ledbetter 레드베터
ledecky 러데키
ledford 레드퍼드
ledgewood 레지우드
ledyard 레디어드
lee 리
leeds 리즈
leefield 리필드
leek 리크
leeman 리먼
leeper 리퍼
leesburg 리스버그
leesville 리스빌
leet 리트
leeton 리턴
leewood 리우드
lefebvre 르페브르
lefor 르포
leg 레그
legacy 레거시
leggett 레깃
leggings 레깅스
legion 레기온
lego 레고
legrande 레그랜드
leguizamo 레귀자모
legumin 레구민
lehi 리하이
lehigh 리하이
lehmann 레만
lehmbruck 렘브루크
lei 레이
leiber 리버
leibl 라이블
leicester 레스터
leigh 리
leighton 레이턴
leiper 리퍼
leiris 레리
leisel 리즐
leishman 리슈먼
leisure 레저
leiter 라이터
leith 리스
leivasy 리버시
leland 릴랜드
leloir 를루아르
leloup 르룹
lemhi 레미
leming 레밍
lemington 레밍턴
lemire 르미르
lemming 레밍
lemmon 레먼
lemon 레몬
lemons 레몬스
lemoore 르무어
lemoyne 르모인
lena 레나
lenard 레나르트
leneve 르네브
lenexa 르넥사
lenihan 레니헌
lenin 레닌
lennox 레녹스
lenny 레니
lenoir 르노어
lenora 레노라
lenore 레노어
lenormand 르노르망
lenox 레녹스
lens 렌즈
lenton 렌턴
lenz 렌츠
leo 레오
leola 레올라
leon 레온
leona 레오나
leonard 레너드
leonardo 리어나도
leonards 레오나즈
leonore 리어노어
leopard 레오파드
leopold 레오폴드
leopon 레오폰
leora 리오라
leotard 레오타드
lepanto 레판토
lepidus 레피두스
lepton 렙톤
lerman 러먼
leroux 레루
leroy 리로이
lerwick 러윅
lesage 르사주
lesbian 레즈비언
leskov 레스코프
lesley 레슬리
leslie 레슬리
lesotho 레소토
lesseps 레셉스
lessie 레시
lessig 레시그
lessing 레싱
lesson 레슨
lessor 레서
lester 레스터
lesya 레샤
let 레트
letcher 레처
letha 레타
lethe 레테
letitia 러티샤
leto 레토
letona 레토나
letter 레터
letterbox 레터박스
lettering 레터링
letts 레츠
leuchs 룩스
levada 러베이다
levan 레반
levant 리밴트
level 레벨
levelland 레벌랜드
levels 레벨스
lever 레버
leverett 레버렛
leverrier 르베리에
levi 레비
levin 레빈
levine 러바인
levis 리바이스
levy 레비
lew 루
lewes 루이스
lewinsky 르윈스키
lewis 루이스
lewiston 루이스턴
lex 렉스
lexa 렉사
lexi 렉시
lexington 렉싱턴
leyden 라이든
leyte 레이테
lezak 리잭
lf 엘에프
lg 엘지
lhota 로타
lhote 로트
liam 리엄
liane 리안
lianne 리앤
libby 리비
liber 리베르
liberace 리버라치
liberal 리버럴
libero 리베로
liberty 리버티
libido 리비도
libuse 리부셰
license 라이선스
lichtman 릭트먼
licking 리킹
lidar 라이다
lidocaine 리도카인
lie 라이
lieberman 리버먼
liebig 리비히
lien 리언
life 라이프
lift 리프트
lifting 리프팅
ligand 리간드
ligase 리가아제
liger 라이거
light 라이트
lighter 라이터
lightfoot 라이트풋
lignin 리그닌
ligonier 리고니어
ligroin 리그로인
lihue 리후에
like 라이크
likely 라이클리
lila 라일라
lilac 라일락
lilbourn 릴본
lilburn 릴번
lilley 릴리
lillian 릴리안
lillis 릴리스
lilly 릴리
lillydale 릴리데일
lilongwe 릴롱궤
lily 릴리
lilydale 릴리데일
lima 라이마
limavady 리머배디
limbo 림보
limbourg 랭부르
limburg 림뷔르흐
lime 라임
limerick 리머릭
limestone 라임스톤
limington 리밍턴
limon 리몬
limonene 리모넨
limousine 리무진
lin 린
linalool 리날로올
linch 린치
lincicome 린시컴
lincoln 링컨
lind 린드
linda 린다
lindale 린데일
lindane 린덴
lindbergh 린드버그
linde 린데
linden 린던
lindley 린들리
lindon 린던
lindose 린도즈
lindsay 린지
lindsborg 린즈보그
lindsey 린지
lindy 린디
line 라인
lineage 리니지
linear 리니어
lineburg 라인버그
linefeed 라인피드
linen 리넨
liner 라이너
lineville 라인빌
linford 린퍼드
lingerie 란제리
lingle 링글
liniment 리니먼트
lining 라이닝
link 링크
linkage 링키지
linkedin 링크트인
linker 링커
linn 린
linneus 린네
linnsburg 린스버그
linoleum 리놀륨
linoxyn 리녹신
lint 린트
linter 린터
linton 린턴
linux 리눅스
linville 린빌
linwood 린우드
linz 린츠
lion 라이온
lionel 라이어널
liouville 리우빌
lip 립
lipase 리페이스
lipatti 리파티
lipman 리프먼
lipoid 리포이드
liposome 리포솜
lippert 리퍼트
lippi 리피
lippmann 리프만
lipps 립스
lipscomb 립스컴
lipstick 립스틱
lipton 립턴
liqueur 리큐어
lis 리스
lisa 리사
lisbeth 리즈베스
lisbon 리스본
lisburn 리즈번
liscomb 리스콤
lisle 라일
lisman 리스만
lismore 리스모어
lisp 리스프
lissajous 리사주
list 리스트
lister 리스터
liszt 리스트
liter 리터
lithgow 리스고
lithia 리티아
lithium 리튬
lithonia 리소니아
lithopone 리토폰
litigon 리티곤
litmus 리트머스
litre 리터
little 리틀
littleton 리틀턴
litton 리턴
liu 류
liukin 류킨
liv 리브
lively 라이블리
livermore 리버모어
liverpool 리버풀
living 리빙
livius 리비우스
livonia 라보니아
liz 리즈
liza 리자
lizana 리자나
lizard 리저드
lizella 리젤라
lizette 리젯
lizton 리즈턴
ll 엘엘
llano 라노
lloy 로이
lloyd 로이드
lmg 엘엠지
lng 엘엔지
lo 엘오
loa 로아
loader 로더
loading 로딩
loam 롬
lob 로브
lobbing 로빙
lobby 로비
lobbyist 로비스트
lobelia 로벨리아
lobeline 로벨린
lobster 랍스터
local 로컬
location 로케이션
lochhead 로키드
lochte 록티
lock 로크
locke 로크
locker 로커
locket 로켓
lockhart 록하트
locklear 로클리어
lockout 로크아웃
lockport 록포트
lockwood 로크우드
loco 로코
locust 로커스트
lodge 로지
lodi 로디
loeb 러브
loewe 로에베
loewen 로웬
loewi 뢰비
loewy 로위
loft 로프트
lofting 로프팅
loftus 로프터스
log 로그
logan 로간
logarithm 로가리듬
logger 로거
login 로그인
logo 로고
logout 로그아웃
logwood 로그우드
lohan 로언
lohengrin 로엔그린
lois 루이스
lokoya 로코야
lola 롤라
loleta 롤레타
lolita 롤리타
loma 로마
loman 로먼
lomax 로맥스
lombard 롬바드
lombok 롬복
lombroso 롬브로소
lome 로메
lomira 로미라
lomita 로미타
lomond 로몬드
lompoc 롬폭
london 런던
lonerock 론록
long 롱
longcloth 롱클로스
longdale 롱데일
longford 롱퍼드
longhi 롱기
longing 롱잉
longinus 롱기누스
longmont 롱몬트
longrun 롱런
longs 롱스
longton 롱턴
longtown 롱타운
longueuil 롱괴이
longvale 롱베일
longview 롱뷰
longville 롱빌
longwood 롱우드
lonoke 로노크
lonsdale 론스데일
loogootee 러고티
look 룩
lookout 룩아웃
loom 룸
loomis 루미스
loon 룬
loop 루프
loose 루스
lopez 로페즈
lorado 로라도
lorain 로레인
loraine 러레인
loran 로란
loranger 로레인저
lorca 로르카
lord 로드
lordsburg 로즈버그
loree 로리
lorella 로렐라
lorena 로레나
lorentz 로런츠
lorenz 로렌즈
lorenzo 로렌조
loretta 로레타
loretto 러레토
lorida 로리다
loris 로리스
lorman 로먼
lorrain 로랭
lorraine 로레인
loschmidt 로슈미트
lost 로스트
lostant 로스턴트
lostine 로스틴
lothair 로테어
lothian 로디언
loti 로티
lotion 로션
lotsee 롯시
lott 로트
lottie 로티
lotto 로토
